Participant;Age;Sex (1m,2f);Experience;SBSOD;Estimate;;;;;
1;19;2;2;4.47;72;;;;;
2;20;2;2;1.60;160;;;;;
3;22;1;4;4.87;68;;;;;
4;20;2;3;4.07;82;;;;;
5;23;1;4;5.00;44;;;;;
6;21;1;3;5.47;50;;;;;
7;21;1;4;4.00;42;;;;;
8;21;1;4;5.13;53;;;;;
9;22;2;4;6.80;55;;;;;
10;22;1;4;5.67;45;;;;;
11;21;2;3;2.80;86;;;;;
12;21;2;3;5.87;66;;;;;
13;19;1;1;5.07;36;;;;;
14;21;2;3;4.47;42;;;;;
15;19;2;1.5;4.47;1;;;;;
16;21;1;4;3.00;14;;;;;
17;19;2;2;3.53;174;;;;;
18;18;2;0.5;4.20;110;;;;;
19;18;2;0;3.00;160;;;;;
20;18;1;0;5.33;126;;;;;
21;20;2;2;2.67;140;;;;;
22;19;2;1;4.33;138;;;;;
23;22;1;3.5;2.47;98;;;;;
24;22;1;4;4.50;50;;;;;
25;18;1;0.5;4.80;60;;;;;
26;20;1;2;5.40;10;;;;;
27;23;1;4;3.60;42;;;;;
28;20;2;3;3.27;140;;;;;
29;21;2;3;4.33;44;;;;;
30;21;2;2.5;4.20;0;;;;;
31;18;2;0.083333333;2.07;88;;;;;
32;18;2;0.125;2.87;148;;;;;
33;18;2;1;3.00;82;;;;;
34;18;1;1;3.60;24;;;;;
35;18;2;0.166666667;2.87;124;;;;;
36;20;1;3;4.73;10;;;;;
37;19;1;1;5.80;26;;;;;
38;18;2;1;5.33;175;;;;;
39;21;2;3;2.47;38;;;;;
40;18;2;0.5;4.07;126;;;;;
41;18;1;1;5.20;60;;;;;
42;19;2;0.5;3.07;58;;;;;
43;19;1;1;5.73;58;;;;;
44;18;1;1;4.57;18;;;;;
45;21;2;3;5.87;32;;;;;
46;21;1;3;5.00;34;;;;;
47;19;1;1;3.80;82;;;;;
48;21;1;4;4.80;56;;;;;
49;19;2;1;3.20;24;;;;;
50;21;2;3;5.47;10;;;;;
51;21;1;3;4.40;4;;;;;
52;20;2;2;4.87;0;;;;;
53;18;1;0.5;4.27;22;;;;;
54;20;2;2;4.67;146;;;;;
55;19;1;2;5.13;28;;;;;
56;19;2;2.5;4.33;18;;;;;
57;18;2;0;4.13;14;;;;;
58;18;1;0.5;3.38;22;;;;;
59;21;2;4;4.67;38;;;;;
60;18;2;0.5;4.47;36;;;;;
61;20;2;3;4.67;26;;;;;
62;19;1;1;4.50;10;;;;;
63;19;1;1;3.07;2;;;;;
64;21;2;3;3.47;44;;;;;
65;19;1;1;3.07;64;;;;;
66;18;1;1;3.73;4;;;;;
67;21;1;3;3.87;34;;;;;
68;18;2;0.5;2.20;22;;;;;
69;19;1;0;3.53;18;;;;;
70;20;2;3;3.53;18;;;;;
71;19;1;1.5;2.33;84;;;;;
72;19;2;0;4.67;14;;;;;
73;18;1;0;4.93;8;;;;;
74;20;1;3;3.53;103;;;;;
75;19;2;2;4.40;26;;;;;
76;19;2;1.5;4.87;2;;;;;
77;18;2;0.5;5.33;52;;;;;
78;19;2;1;4.33;74;;;;;
79;20;2;3;3.87;0;;;;;
80;18;2;0.5;1.47;122;;;;;
81;20;2;2;5.07;16;;;;;
82;22;2;4;3.07;15;;;;;
83;22;1;4;3.47;7;;;;;
84;23;1;2;4.47;155;;;;;
85;21;2;3;5.13;9;;;;;
86;21;2;3;4.13;28;;;;;
87;19;2;1;4.27;91;;;;;
88;18;2;1;5.13;35;;;;;
89;21;2;3;3.67;45;;;;;
90;19;1;2;4.13;123;;;;;
91;18;1;0.5;5.33;8;;;;;
92;21;1;3;4.73;28;;;;;
93;19;2;0;4.60;6;;;;;
94;21;1;3;4.93;44;;;;;
95;20;2;3;2.40;64;;;;;
96;18;2;0.5;3.47;110;;;;;
97;19;1;0.5;4.40;40;;;;;
98;18;2;0.5;3.47;58;;;;;
99;18;1;1;3.87;132;;;;;
100;19;2;1;2.07;24;;;;;
101;22;1;3;5.00;30;;;;;
102;21;1;0.5;4.07;22;;;;;
103;18;2;0.5;3.13;116;;;;;
104;21;2;3;4.40;5;;;;;
105;20;2;1;4.53;34;;;;;
106;18;1;0;5.47;52;;;;;
107;20;2;2;1.73;4;;;;;
108;21;1;4;3.13;10;;;;;
109;21;2;3;5.27;136;;;;;
110;20;1;2;6.00;64;;;;;
111;20;1;2.5;3.07;62;;;;;
112;20;1;2;4.87;32;;;;;
113;21;1;4;2.87;24;;;;;
114;22;2;4;4.87;32;;;;;
115;20;2;3;4.20;119;;;;;
116;20;2;2.5;3.93;2;;;;;
117;19;1;2;5.60;16;;;;;
118;20;2;2;4.53;10;;;;;
119;19;1;0.5;4.27;22;;;;;
120;20;2;2.5;4.13;42;;;;;
121;20;2;2;3.40;44;;;;;
122;19;1;1;4.73;72;;;;;
123;20;1;2;2.67;48;;;;;
124;22;1;4;4.13;146;;;;;
125;19;1;1;3.87;22;;;;;
126;19;2;1;3.67;124;;;;;
127;20;1;0;5.33;54;;;;;
128;21;1;3;4.87;72;;;;;
129;19;2;1.5;3.07;48;;;;;
130;19;1;1;3.33;38;;;;;
131;21;2;3;4.87;42;;;;;
132;19;2;1.5;3.53;4;;;;;
133;22;1;3.5;3.20;86;;;;;
134;21;2;3;5.53;10;;;;;
135;20;2;0.5;3.53;70;;;;;
136;19;2;2;5.13;42;;;;;
137;20;2;1.5;3.47;42;;;;;
138;19;1;1;6.33;22;;;;;
139;22;1;3;4.60;84;;;;;
140;21;1;1.5;5.00;159;;;;;
141;19;2;1;4.47;46;;;;;
142;21;1;2;5.73;12;;;;;
143;19;2;1;3.29;124;;;;;
144;21;2;2.5;2.13;178;;;;;
145;21;1;3;5.20;44;;;;;
146;19;2;1;5.07;8;;;;;
147;19;2;1;5.73;10;;;;;
148;21;2;3;5.27;38;;;;;
149;18;2;0;3.40;132;;;;;
150;19;2;1;3.13;122;;;;;
151;21;2;0;4.00;64;;;;;
152;20;1;2.5;3.93;64;;;;;
153;20;2;1;4.40;24;;;;;
154;19;2;1.5;2.00;68;;;;;
155;20;2;3;2.80;90;;;;;
156;20;2;1.25;3.87;70;;;;;
157;19;2;1;5.00;18;;;;;
158;18;2;1;5.47;48;;;;;
159;19;2;1;3.60;160;;;;;
160;18;2;1;2.00;146;;;;;
161;20;1;2;4.40;15;;;;;
162;21;2;3;6.27;33;;;;;
163;18;1;0.5;5.87;32;;;;;
164;19;1;2;3.07;62;;;;;
165;19;2;1;4.40;62;;;;;
166;18;1;0;4.80;30;;;;;
167;18;1;0.5;4.53;32;;;;;
168;19;2;1;3.67;44;;;;;
169;18;1;0.5;5.07;6;;;;;
170;18;1;0;3.13;41;;;;;
171;19;2;1.5;3.73;50;;;;;
172;18;1;0.25;3.93;94;;;;;
173;18;2;0.5;3.20;164;;;;;
174;20;1;1;3.33;134;;;;;
175;20;1;3;4.47;52;;;;;
176;19;1;1;3.87;58;;;;;
177;19;1;2;4.00;32;;;;;
178;20;1;1;4.33;46;;;;;
179;21;1;3;3.20;26;;;;;
180;18;1;0;4.87;128;;;;;
181;20;2;2;2.73;31;;;;;
182;21;1;3;3.20;51;;;;;
183;20;2;2;3.67;5;;;;;
184;21;1;3;5.00;163;;;;;
185;21;1;2;3.60;40;;;;;
186;21;2;4;5.87;52;;;;;
187;20;2;3;2.67;58;;;;;
188;22;1;0;4.53;95;;;;;
189;20;1;2;5.00;33;;;;;
190;18;2;0.5;4.67;162;;;;;
191;18;2;0.5;4.60;94;;;;;
192;18;2;0.5;1.47;167;;;;;
193;19;1;1;2.73;68;;;;;
194;18;1;0.5;2.60;41;;;;;
195;20;2;1.5;4.20;158;;;;;
196;19;2;1.5;4.33;54;;;;;
197;19;2;1.5;2.13;114;;;;;
198;19;1;1.5;5.53;16;;;;;
199;19;1;0.5;5.53;56;;;;;
200;20;2;3;2.40;156;;;;;
